Bridge_ID,Location,Age (years),Material,Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Maintenance_History,Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Material_Composition,Bridge_Design,Construction_Quality,Temperature (°C),Humidity (%),Collapse_Status
2303,Region_3,32,Concrete,498.9348935,15.360036,30.72007201,2379.207921,Snowy,1151.115112,21-04-2016,23.02230223,2.302230223,384.1784178,115.1115112,"Concrete 80%, Wood 20%",Beam,Good,-11.58215822,23.02230223,Standing
2304,Region_4,7,Wood,499.129913,15.36453645,30.72907291,2380.19802,Cloudy,1151.615162,22-04-2016,23.03230323,2.303230323,384.2584258,115.1615162,"Concrete 80%, Wood 20%",Truss,Good,-11.57415742,23.03230323,Standing
2305,Region_5,5,Steel,499.3249325,15.3690369,30.73807381,2381.188119,Windy,1152.115212,23-04-2016,23.04230423,2.304230423,384.3384338,115.2115212,"Steel 70%, Concrete 30%",Arch,Good,-11.56615662,23.04230423,Standing
2306,Region_1,47,Concrete,499.519952,15.37353735,30.74707471,2382.178218,Rainy,1152.615262,24-04-2016,23.05230523,2.305230523,384.4184418,115.2615262,"Concrete 80%, Wood 20%",Beam,Good,-11.55815582,23.05230523,Standing
2307,Region_2,21,Wood,499.7149715,15.3780378,30.75607561,2383.168317,Sunny,1153.115312,25-04-2016,23.06230623,2.306230623,384.4984498,115.3115312,"Concrete 80%, Wood 20%",Truss,Good,-11.55015502,23.06230623,Standing
2308,Region_3,26,Steel,499.909991,15.38253825,30.76507651,2384.158416,Snowy,1153.615362,26-04-2016,23.07230723,2.307230723,384.5784578,115.3615362,"Steel 70%, Concrete 30%",Arch,Good,-11.54215422,23.07230723,Standing
2309,Region_4,49,Concrete,500.1050105,15.3870387,30.77407741,2385.148515,Cloudy,1154.115412,27-04-2016,23.08230823,2.308230823,384.6584658,115.4115412,"Concrete 80%, Wood 20%",Beam,Good,-11.53415342,23.08230823,Standing
2310,Region_5,45,Wood,500.30003,15.39153915,30.78307831,2386.138614,Windy,1154.615462,28-04-2016,23.09230923,2.309230923,384.7384738,115.4615462,"Concrete 80%, Wood 20%",Truss,Good,-11.52615262,23.09230923,Standing
2311,Region_1,48,Steel,500.4950495,15.3960396,30.79207921,2387.128713,Rainy,1155.115512,29-04-2016,23.10231023,2.310231023,384.8184818,115.5115512,"Steel 70%, Concrete 30%",Arch,Good,-11.51815182,23.10231023,Standing
2312,Region_2,5,Concrete,500.690069,15.40054005,30.80108011,2388.118812,Sunny,1155.615562,30-04-2016,23.11231123,2.311231123,384.8984898,115.5615562,"Concrete 80%, Wood 20%",Beam,Good,-11.51015102,23.11231123,Standing
2313,Region_3,23,Wood,500.8850885,15.4050405,30.81008101,2389.108911,Snowy,1156.115612,01-05-2016,23.12231223,2.312231223,384.9784978,115.6115612,"Concrete 80%, Wood 20%",Truss,Good,-11.50215022,23.12231223,Standing
2314,Region_4,2,Steel,501.080108,15.40954095,30.81908191,2390.09901,Cloudy,1156.615662,02-05-2016,23.13231323,2.313231323,385.0585059,115.6615662,"Steel 70%, Concrete 30%",Arch,Good,-11.49414941,23.13231323,Standing
2315,Region_5,35,Concrete,501.2751275,15.4140414,30.82808281,2391.089109,Windy,1157.115712,03-05-2016,23.14231423,2.314231423,385.1385139,115.7115712,"Concrete 80%, Wood 20%",Beam,Good,-11.48614861,23.14231423,Standing
2316,Region_1,33,Wood,501.470147,15.41854185,30.83708371,2392.079208,Rainy,1157.615762,04-05-2016,23.15231523,2.315231523,385.2185219,115.7615762,"Concrete 80%, Wood 20%",Truss,Good,-11.47814781,23.15231523,Standing
2317,Region_2,13,Steel,501.6651665,15.4230423,30.84608461,2393.069307,Sunny,1158.115812,05-05-2016,23.16231623,2.316231623,385.2985299,115.8115812,"Steel 70%, Concrete 30%",Arch,Good,-11.47014701,23.16231623,Standing
2318,Region_3,46,Concrete,501.860186,15.42754275,30.85508551,2394.059406,Snowy,1158.615862,06-05-2016,23.17231723,2.317231723,385.3785379,115.8615862,"Concrete 80%, Wood 20%",Beam,Good,-11.46214621,23.17231723,Standing
2319,Region_4,25,Wood,502.0552055,15.4320432,30.86408641,2395.049505,Cloudy,1159.115912,07-05-2016,23.18231823,2.318231823,385.4585459,115.9115912,"Concrete 80%, Wood 20%",Truss,Good,-11.45414541,23.18231823,Standing
2320,Region_5,23,Steel,502.250225,15.43654365,30.87308731,2396.039604,Windy,1159.615962,08-05-2016,23.19231923,2.319231923,385.5385539,115.9615962,"Steel 70%, Concrete 30%",Arch,Good,-11.44614461,23.19231923,Standing
2321,Region_1,18,Concrete,502.4452445,15.4410441,30.88208821,2397.029703,Rainy,1160.116012,09-05-2016,23.20232023,2.320232023,385.6185619,116.0116012,"Concrete 80%, Wood 20%",Beam,Good,-11.43814381,23.20232023,Standing
2322,Region_2,47,Wood,502.640264,15.44554455,30.89108911,2398.019802,Sunny,1160.616062,10-05-2016,23.21232123,2.321232123,385.6985699,116.0616062,"Concrete 80%, Wood 20%",Truss,Good,-11.43014301,23.21232123,Standing
2323,Region_3,39,Steel,502.8352835,15.450045,30.90009001,2399.009901,Snowy,1161.116112,11-05-2016,23.22232223,2.322232223,385.7785779,116.1116112,"Steel 70%, Concrete 30%",Arch,Good,-11.42214221,23.22232223,Standing
2324,Region_4,20,Concrete,503.030303,15.45454545,30.90909091,2400,Cloudy,1161.616162,12-05-2016,23.23232323,2.323232323,385.8585859,116.1616162,"Concrete 80%, Wood 20%",Beam,Good,-11.41414141,23.23232323,Standing
2325,Region_5,21,Wood,503.2253225,15.4590459,30.91809181,2400.990099,Windy,1162.116212,13-05-2016,23.24232423,2.324232423,385.9385939,116.2116212,"Concrete 80%, Wood 20%",Truss,Good,-11.40614061,23.24232423,Standing
2326,Region_1,27,Steel,503.420342,15.46354635,30.92709271,2401.980198,Rainy,1162.616262,14-05-2016,23.25232523,2.325232523,386.0186019,116.2616262,"Steel 70%, Concrete 30%",Arch,Good,-11.39813981,23.25232523,Standing
2327,Region_2,34,Concrete,503.6153615,15.4680468,30.93609361,2402.970297,Sunny,1163.116312,15-05-2016,23.26232623,2.326232623,386.0986099,116.3116312,"Concrete 80%, Wood 20%",Beam,Good,-11.39013901,23.26232623,Standing
2328,Region_3,34,Wood,503.810381,15.47254725,30.94509451,2403.960396,Snowy,1163.616362,16-05-2016,23.27232723,2.327232723,386.1786179,116.3616362,"Concrete 80%, Wood 20%",Truss,Good,-11.38213821,23.27232723,Standing
2329,Region_4,6,Steel,504.0054005,15.4770477,30.95409541,2404.950495,Cloudy,1164.116412,17-05-2016,23.28232823,2.328232823,386.2586259,116.4116412,"Steel 70%, Concrete 30%",Arch,Good,-11.37413741,23.28232823,Standing
2330,Region_5,7,Concrete,504.20042,15.48154815,30.96309631,2405.940594,Windy,1164.616462,18-05-2016,23.29232923,2.329232923,386.3386339,116.4616462,"Concrete 80%, Wood 20%",Beam,Good,-11.36613661,23.29232923,Standing
2331,Region_1,32,Wood,504.3954395,15.4860486,30.97209721,2406.930693,Rainy,1165.116512,19-05-2016,23.30233023,2.330233023,386.4186419,116.5116512,"Concrete 80%, Wood 20%",Truss,Good,-11.35813581,23.30233023,Standing
2332,Region_2,21,Steel,504.590459,15.49054905,30.98109811,2407.920792,Sunny,1165.616562,20-05-2016,23.31233123,2.331233123,386.4986499,116.5616562,"Steel 70%, Concrete 30%",Arch,Good,-11.35013501,23.31233123,Standing
2333,Region_3,20,Concrete,504.7854785,15.4950495,30.99009901,2408.910891,Snowy,1166.116612,21-05-2016,23.32233223,2.332233223,386.5786579,116.6116612,"Concrete 80%, Wood 20%",Beam,Good,-11.34213421,23.32233223,Standing
2334,Region_4,19,Wood,504.980498,15.49954995,30.99909991,2409.90099,Cloudy,1166.616662,22-05-2016,23.33233323,2.333233323,386.6586659,116.6616662,"Concrete 80%, Wood 20%",Truss,Good,-11.33413341,23.33233323,Standing
2335,Region_5,4,Steel,505.1755176,15.50405041,31.00810081,2410.891089,Windy,1167.116712,23-05-2016,23.34233423,2.334233423,386.7386739,116.7116712,"Steel 70%, Concrete 30%",Arch,Good,-11.32613261,23.34233423,Standing
2336,Region_1,2,Concrete,505.3705371,15.50855086,31.01710171,2411.881188,Rainy,1167.616762,24-05-2016,23.35233523,2.335233523,386.8186819,116.7616762,"Concrete 80%, Wood 20%",Beam,Good,-11.31813181,23.35233523,Standing
2337,Region_2,6,Wood,505.5655566,15.51305131,31.02610261,2412.871287,Sunny,1168.116812,25-05-2016,23.36233623,2.336233623,386.8986899,116.8116812,"Concrete 80%, Wood 20%",Truss,Good,-11.31013101,23.36233623,Standing
2338,Region_3,40,Steel,505.7605761,15.51755176,31.03510351,2413.861386,Snowy,1168.616862,26-05-2016,23.37233723,2.337233723,386.9786979,116.8616862,"Steel 70%, Concrete 30%",Arch,Good,-11.30213021,23.37233723,Standing
2339,Region_4,16,Concrete,505.9555956,15.52205221,31.04410441,2414.851485,Cloudy,1169.116912,27-05-2016,23.38233823,2.338233823,387.0587059,116.9116912,"Concrete 80%, Wood 20%",Beam,Good,-11.29412941,23.38233823,Standing
2340,Region_5,26,Wood,506.1506151,15.52655266,31.05310531,2415.841584,Windy,1169.616962,28-05-2016,23.39233923,2.339233923,387.1387139,116.9616962,"Concrete 80%, Wood 20%",Truss,Good,-11.28612861,23.39233923,Standing
2341,Region_1,14,Steel,506.3456346,15.53105311,31.06210621,2416.831683,Rainy,1170.117012,29-05-2016,23.40234023,2.340234023,387.2187219,117.0117012,"Steel 70%, Concrete 30%",Arch,Good,-11.27812781,23.40234023,Standing
2342,Region_2,28,Concrete,506.5406541,15.53555356,31.07110711,2417.821782,Sunny,1170.617062,30-05-2016,23.41234123,2.341234123,387.2987299,117.0617062,"Concrete 80%, Wood 20%",Beam,Good,-11.27012701,23.41234123,Standing
2343,Region_3,12,Wood,506.7356736,15.54005401,31.08010801,2418.811881,Snowy,1171.117112,31-05-2016,23.42234223,2.342234223,387.3787379,117.1117112,"Concrete 80%, Wood 20%",Truss,Good,-11.26212621,23.42234223,Standing
2344,Region_4,14,Steel,506.9306931,15.54455446,31.08910891,2419.80198,Cloudy,1171.617162,01-06-2016,23.43234323,2.343234323,387.4587459,117.1617162,"Steel 70%, Concrete 30%",Arch,Good,-11.25412541,23.43234323,Standing
2345,Region_5,35,Concrete,507.1257126,15.54905491,31.09810981,2420.792079,Windy,1172.117212,02-06-2016,23.44234423,2.344234423,387.5387539,117.2117212,"Concrete 80%, Wood 20%",Beam,Good,-11.24612461,23.44234423,Standing
2346,Region_1,30,Wood,507.3207321,15.55355536,31.10711071,2421.782178,Rainy,1172.617262,03-06-2016,23.45234523,2.345234523,387.6187619,117.2617262,"Concrete 80%, Wood 20%",Truss,Good,-11.23812381,23.45234523,Standing
2347,Region_2,31,Steel,507.5157516,15.55805581,31.11611161,2422.772277,Sunny,1173.117312,04-06-2016,23.46234623,2.346234623,387.6987699,117.3117312,"Steel 70%, Concrete 30%",Arch,Good,-11.23012301,23.46234623,Standing
2348,Region_3,11,Concrete,507.7107711,15.56255626,31.12511251,2423.762376,Snowy,1173.617362,05-06-2016,23.47234723,2.347234723,387.7787779,117.3617362,"Concrete 80%, Wood 20%",Beam,Good,-11.22212221,23.47234723,Standing
2349,Region_4,13,Wood,507.9057906,15.56705671,31.13411341,2424.752475,Cloudy,1174.117412,06-06-2016,23.48234823,2.348234823,387.8587859,117.4117412,"Concrete 80%, Wood 20%",Truss,Good,-11.21412141,23.48234823,Standing
2350,Region_5,2,Steel,508.1008101,15.57155716,31.14311431,2425.742574,Windy,1174.617462,07-06-2016,23.49234923,2.349234923,387.9387939,117.4617462,"Steel 70%, Concrete 30%",Arch,Good,-11.20612061,23.49234923,Standing
2351,Region_1,38,Concrete,508.2958296,15.57605761,31.15211521,2426.732673,Rainy,1175.117512,08-06-2016,23.50235024,2.350235024,388.0188019,117.5117512,"Concrete 80%, Wood 20%",Beam,Good,-11.19811981,23.50235024,Standing
2352,Region_2,36,Wood,508.4908491,15.58055806,31.16111611,2427.722772,Sunny,1175.617562,09-06-2016,23.51235124,2.351235124,388.0988099,117.5617562,"Concrete 80%, Wood 20%",Truss,Good,-11.19011901,23.51235124,Standing
2353,Region_3,4,Steel,508.6858686,15.58505851,31.17011701,2428.712871,Snowy,1176.117612,10-06-2016,23.52235224,2.352235224,388.1788179,117.6117612,"Steel 70%, Concrete 30%",Arch,Good,-11.18211821,23.52235224,Standing
2354,Region_4,23,Concrete,508.8808881,15.58955896,31.17911791,2429.70297,Cloudy,1176.617662,11-06-2016,23.53235324,2.353235324,388.2588259,117.6617662,"Concrete 80%, Wood 20%",Beam,Good,-11.17411741,23.53235324,Standing
2355,Region_5,10,Wood,509.0759076,15.59405941,31.18811881,2430.693069,Windy,1177.117712,12-06-2016,23.54235424,2.354235424,388.3388339,117.7117712,"Concrete 80%, Wood 20%",Truss,Good,-11.16611661,23.54235424,Standing
2356,Region_1,40,Steel,509.2709271,15.59855986,31.19711971,2431.683168,Rainy,1177.617762,13-06-2016,23.55235524,2.355235524,388.4188419,117.7617762,"Steel 70%, Concrete 30%",Arch,Good,-11.15811581,23.55235524,Standing
2357,Region_2,16,Concrete,509.4659466,15.60306031,31.20612061,2432.673267,Sunny,1178.117812,14-06-2016,23.56235624,2.356235624,388.4988499,117.8117812,"Concrete 80%, Wood 20%",Beam,Good,-11.15011501,23.56235624,Standing
2358,Region_3,23,Wood,509.6609661,15.60756076,31.21512151,2433.663366,Snowy,1178.617862,15-06-2016,23.57235724,2.357235724,388.5788579,117.8617862,"Concrete 80%, Wood 20%",Truss,Good,-11.14211421,23.57235724,Standing
2359,Region_4,29,Steel,509.8559856,15.61206121,31.22412241,2434.653465,Cloudy,1179.117912,16-06-2016,23.58235824,2.358235824,388.6588659,117.9117912,"Steel 70%, Concrete 30%",Arch,Good,-11.13411341,23.58235824,Standing
2360,Region_5,9,Concrete,510.0510051,15.61656166,31.23312331,2435.643564,Windy,1179.617962,17-06-2016,23.59235924,2.359235924,388.7388739,117.9617962,"Concrete 80%, Wood 20%",Beam,Good,-11.12611261,23.59235924,Standing
2361,Region_1,40,Wood,510.2460246,15.62106211,31.24212421,2436.633663,Rainy,1180.118012,18-06-2016,23.60236024,2.360236024,388.8188819,118.0118012,"Concrete 80%, Wood 20%",Truss,Good,-11.11811181,23.60236024,Standing
2362,Region_2,25,Steel,510.4410441,15.62556256,31.25112511,2437.623762,Sunny,1180.618062,19-06-2016,23.61236124,2.361236124,388.8988899,118.0618062,"Steel 70%, Concrete 30%",Arch,Good,-11.11011101,23.61236124,Standing
2363,Region_3,40,Concrete,510.6360636,15.63006301,31.26012601,2438.613861,Snowy,1181.118112,20-06-2016,23.62236224,2.362236224,388.9788979,118.1118112,"Concrete 80%, Wood 20%",Beam,Good,-11.10211021,23.62236224,Standing
2364,Region_4,13,Wood,510.8310831,15.63456346,31.26912691,2439.60396,Cloudy,1181.618162,21-06-2016,23.63236324,2.363236324,389.0589059,118.1618162,"Concrete 80%, Wood 20%",Truss,Good,-11.09410941,23.63236324,Standing
2365,Region_5,36,Steel,511.0261026,15.63906391,31.27812781,2440.594059,Windy,1182.118212,22-06-2016,23.64236424,2.364236424,389.1389139,118.2118212,"Steel 70%, Concrete 30%",Arch,Good,-11.08610861,23.64236424,Standing
2366,Region_1,46,Concrete,511.2211221,15.64356436,31.28712871,2441.584158,Rainy,1182.618262,23-06-2016,23.65236524,2.365236524,389.2189219,118.2618262,"Concrete 80%, Wood 20%",Beam,Good,-11.07810781,23.65236524,Standing
2367,Region_2,39,Wood,511.4161416,15.64806481,31.29612961,2442.574257,Sunny,1183.118312,24-06-2016,23.66236624,2.366236624,389.2989299,118.3118312,"Concrete 80%, Wood 20%",Truss,Good,-11.07010701,23.66236624,Standing
2368,Region_3,35,Steel,511.6111611,15.65256526,31.30513051,2443.564356,Snowy,1183.618362,25-06-2016,23.67236724,2.367236724,389.3789379,118.3618362,"Steel 70%, Concrete 30%",Arch,Good,-11.06210621,23.67236724,Standing
2369,Region_4,2,Concrete,511.8061806,15.65706571,31.31413141,2444.554455,Cloudy,1184.118412,26-06-2016,23.68236824,2.368236824,389.4589459,118.4118412,"Concrete 80%, Wood 20%",Beam,Good,-11.05410541,23.68236824,Standing
2370,Region_5,36,Wood,512.0012001,15.66156616,31.32313231,2445.544554,Windy,1184.618462,27-06-2016,23.69236924,2.369236924,389.5389539,118.4618462,"Concrete 80%, Wood 20%",Truss,Good,-11.04610461,23.69236924,Standing
2371,Region_1,39,Steel,512.1962196,15.66606661,31.33213321,2446.534653,Rainy,1185.118512,28-06-2016,23.70237024,2.370237024,389.6189619,118.5118512,"Steel 70%, Concrete 30%",Arch,Good,-11.03810381,23.70237024,Standing
2372,Region_2,45,Concrete,512.3912391,15.67056706,31.34113411,2447.524752,Sunny,1185.618562,29-06-2016,23.71237124,2.371237124,389.6989699,118.5618562,"Concrete 80%, Wood 20%",Beam,Good,-11.03010301,23.71237124,Standing
2373,Region_3,16,Wood,512.5862586,15.67506751,31.35013501,2448.514851,Snowy,1186.118612,30-06-2016,23.72237224,2.372237224,389.7789779,118.6118612,"Concrete 80%, Wood 20%",Truss,Good,-11.02210221,23.72237224,Standing
2374,Region_4,13,Steel,512.7812781,15.67956796,31.35913591,2449.50495,Cloudy,1186.618662,01-07-2016,23.73237324,2.373237324,389.8589859,118.6618662,"Steel 70%, Concrete 30%",Arch,Good,-11.01410141,23.73237324,Standing
2375,Region_5,14,Concrete,512.9762976,15.68406841,31.36813681,2450.49505,Windy,1187.118712,02-07-2016,23.74237424,2.374237424,389.9389939,118.7118712,"Concrete 80%, Wood 20%",Beam,Good,-11.00610061,23.74237424,Standing
2376,Region_1,43,Wood,513.1713171,15.68856886,31.37713771,2451.485149,Rainy,1187.618762,03-07-2016,23.75237524,2.375237524,390.0190019,118.7618762,"Concrete 80%, Wood 20%",Truss,Good,-10.99809981,23.75237524,Standing
2377,Region_2,40,Steel,513.3663366,15.69306931,31.38613861,2452.475248,Sunny,1188.118812,04-07-2016,23.76237624,2.376237624,390.0990099,118.8118812,"Steel 70%, Concrete 30%",Arch,Good,-10.99009901,23.76237624,Standing
2378,Region_3,5,Concrete,513.5613561,15.69756976,31.39513951,2453.465347,Snowy,1188.618862,05-07-2016,23.77237724,2.377237724,390.1790179,118.8618862,"Concrete 80%, Wood 20%",Beam,Good,-10.98209821,23.77237724,Standing
2379,Region_4,16,Wood,513.7563756,15.70207021,31.40414041,2454.455446,Cloudy,1189.118912,06-07-2016,23.78237824,2.378237824,390.2590259,118.9118912,"Concrete 80%, Wood 20%",Truss,Good,-10.97409741,23.78237824,Standing
2380,Region_5,13,Steel,513.9513951,15.70657066,31.41314131,2455.445545,Windy,1189.618962,07-07-2016,23.79237924,2.379237924,390.3390339,118.9618962,"Steel 70%, Concrete 30%",Arch,Good,-10.96609661,23.79237924,Standing
2381,Region_1,35,Concrete,514.1464146,15.71107111,31.42214221,2456.435644,Rainy,1190.119012,08-07-2016,23.80238024,2.380238024,390.4190419,119.0119012,"Concrete 80%, Wood 20%",Beam,Good,-10.95809581,23.80238024,Standing
2382,Region_2,2,Wood,514.3414341,15.71557156,31.43114311,2457.425743,Sunny,1190.619062,09-07-2016,23.81238124,2.381238124,390.4990499,119.0619062,"Concrete 80%, Wood 20%",Truss,Good,-10.95009501,23.81238124,Standing
2383,Region_3,23,Steel,514.5364536,15.72007201,31.44014401,2458.415842,Snowy,1191.119112,10-07-2016,23.82238224,2.382238224,390.5790579,119.1119112,"Steel 70%, Concrete 30%",Arch,Good,-10.94209421,23.82238224,Standing
2384,Region_4,29,Concrete,514.7314731,15.72457246,31.44914491,2459.405941,Cloudy,1191.619162,11-07-2016,23.83238324,2.383238324,390.6590659,119.1619162,"Concrete 80%, Wood 20%",Beam,Good,-10.93409341,23.83238324,Standing
2385,Region_5,30,Wood,514.9264926,15.72907291,31.45814581,2460.39604,Windy,1192.119212,12-07-2016,23.84238424,2.384238424,390.7390739,119.2119212,"Concrete 80%, Wood 20%",Truss,Good,-10.92609261,23.84238424,Standing
2386,Region_1,29,Steel,515.1215122,15.73357336,31.46714671,2461.386139,Rainy,1192.619262,13-07-2016,23.85238524,2.385238524,390.8190819,119.2619262,"Steel 70%, Concrete 30%",Arch,Good,-10.91809181,23.85238524,Standing
2387,Region_2,37,Concrete,515.3165317,15.73807381,31.47614761,2462.376238,Sunny,1193.119312,14-07-2016,23.86238624,2.386238624,390.8990899,119.3119312,"Concrete 80%, Wood 20%",Beam,Good,-10.91009101,23.86238624,Standing
2388,Region_3,19,Wood,515.5115512,15.74257426,31.48514851,2463.366337,Snowy,1193.619362,15-07-2016,23.87238724,2.387238724,390.9790979,119.3619362,"Concrete 80%, Wood 20%",Truss,Good,-10.90209021,23.87238724,Standing
2389,Region_4,39,Steel,515.7065707,15.74707471,31.49414941,2464.356436,Cloudy,1194.119412,16-07-2016,23.88238824,2.388238824,391.0591059,119.4119412,"Steel 70%, Concrete 30%",Arch,Good,-10.89408941,23.88238824,Standing
2390,Region_5,23,Concrete,515.9015902,15.75157516,31.50315032,2465.346535,Windy,1194.619462,17-07-2016,23.89238924,2.389238924,391.1391139,119.4619462,"Concrete 80%, Wood 20%",Beam,Good,-10.88608861,23.89238924,Standing
2391,Region_1,12,Wood,516.0966097,15.75607561,31.51215122,2466.336634,Rainy,1195.119512,18-07-2016,23.90239024,2.390239024,391.2191219,119.5119512,"Concrete 80%, Wood 20%",Truss,Good,-10.87808781,23.90239024,Standing
2392,Region_2,5,Steel,516.2916292,15.76057606,31.52115212,2467.326733,Sunny,1195.619562,19-07-2016,23.91239124,2.391239124,391.2991299,119.5619562,"Steel 70%, Concrete 30%",Arch,Good,-10.87008701,23.91239124,Standing
2393,Region_3,48,Concrete,516.4866487,15.76507651,31.53015302,2468.316832,Snowy,1196.119612,20-07-2016,23.92239224,2.392239224,391.3791379,119.6119612,"Concrete 80%, Wood 20%",Beam,Good,-10.86208621,23.92239224,Standing
2394,Region_4,22,Wood,516.6816682,15.76957696,31.53915392,2469.306931,Cloudy,1196.619662,21-07-2016,23.93239324,2.393239324,391.4591459,119.6619662,"Concrete 80%, Wood 20%",Truss,Good,-10.85408541,23.93239324,Standing
2395,Region_5,39,Steel,516.8766877,15.77407741,31.54815482,2470.29703,Windy,1197.119712,22-07-2016,23.94239424,2.394239424,391.5391539,119.7119712,"Steel 70%, Concrete 30%",Arch,Good,-10.84608461,23.94239424,Standing
2396,Region_1,19,Concrete,517.0717072,15.77857786,31.55715572,2471.287129,Rainy,1197.619762,23-07-2016,23.95239524,2.395239524,391.6191619,119.7619762,"Concrete 80%, Wood 20%",Beam,Good,-10.83808381,23.95239524,Standing
2397,Region_2,7,Wood,517.2667267,15.78307831,31.56615662,2472.277228,Sunny,1198.119812,24-07-2016,23.96239624,2.396239624,391.6991699,119.8119812,"Concrete 80%, Wood 20%",Truss,Good,-10.83008301,23.96239624,Standing
2398,Region_3,8,Steel,517.4617462,15.78757876,31.57515752,2473.267327,Snowy,1198.619862,25-07-2016,23.97239724,2.397239724,391.7791779,119.8619862,"Steel 70%, Concrete 30%",Arch,Good,-10.82208221,23.97239724,Standing
2399,Region_4,9,Concrete,517.6567657,15.79207921,31.58415842,2474.257426,Cloudy,1199.119912,26-07-2016,23.98239824,2.398239824,391.8591859,119.9119912,"Concrete 80%, Wood 20%",Beam,Good,-10.81408141,23.98239824,Standing
2400,Region_5,47,Wood,517.8517852,15.79657966,31.59315932,2475.247525,Windy,1199.619962,27-07-2016,23.99239924,2.399239924,391.9391939,119.9619962,"Concrete 80%, Wood 20%",Truss,Good,-10.80608061,23.99239924,Standing
2401,Region_1,43,Steel,518.0468047,15.80108011,31.60216022,2476.237624,Rainy,1200.120012,28-07-2016,24.00240024,2.400240024,392.0192019,120.0120012,"Steel 70%, Concrete 30%",Arch,Good,-10.79807981,24.00240024,Standing
2402,Region_2,46,Concrete,518.2418242,15.80558056,31.61116112,2477.227723,Sunny,1200.620062,29-07-2016,24.01240124,2.401240124,392.0992099,120.0620062,"Concrete 80%, Wood 20%",Beam,Good,-10.79007901,24.01240124,Standing
2403,Region_3,8,Wood,518.4368437,15.81008101,31.62016202,2478.217822,Snowy,1201.120112,30-07-2016,24.02240224,2.402240224,392.1792179,120.1120112,"Concrete 80%, Wood 20%",Truss,Good,-10.78207821,24.02240224,Standing
2404,Region_4,6,Steel,518.6318632,15.81458146,31.62916292,2479.207921,Cloudy,1201.620162,31-07-2016,24.03240324,2.403240324,392.2592259,120.1620162,"Steel 70%, Concrete 30%",Arch,Good,-10.77407741,24.03240324,Standing
2405,Region_5,5,Concrete,518.8268827,15.81908191,31.63816382,2480.19802,Windy,1202.120212,01-08-2016,24.04240424,2.404240424,392.3392339,120.2120212,"Concrete 80%, Wood 20%",Beam,Good,-10.76607661,24.04240424,Standing
2406,Region_1,35,Wood,519.0219022,15.82358236,31.64716472,2481.188119,Rainy,1202.620262,02-08-2016,24.05240524,2.405240524,392.4192419,120.2620262,"Concrete 80%, Wood 20%",Truss,Good,-10.75807581,24.05240524,Standing
2407,Region_2,11,Steel,519.2169217,15.82808281,31.65616562,2482.178218,Sunny,1203.120312,03-08-2016,24.06240624,2.406240624,392.4992499,120.3120312,"Steel 70%, Concrete 30%",Arch,Good,-10.75007501,24.06240624,Standing
2408,Region_3,20,Concrete,519.4119412,15.83258326,31.66516652,2483.168317,Snowy,1203.620362,04-08-2016,24.07240724,2.407240724,392.5792579,120.3620362,"Concrete 80%, Wood 20%",Beam,Good,-10.74207421,24.07240724,Standing
2409,Region_4,25,Wood,519.6069607,15.83708371,31.67416742,2484.158416,Cloudy,1204.120412,05-08-2016,24.08240824,2.408240824,392.6592659,120.4120412,"Concrete 80%, Wood 20%",Truss,Good,-10.73407341,24.08240824,Standing
2410,Region_5,8,Steel,519.8019802,15.84158416,31.68316832,2485.148515,Windy,1204.620462,06-08-2016,24.09240924,2.409240924,392.7392739,120.4620462,"Steel 70%, Concrete 30%",Arch,Good,-10.72607261,24.09240924,Standing
2411,Region_1,27,Concrete,519.9969997,15.84608461,31.69216922,2486.138614,Rainy,1205.120512,07-08-2016,24.10241024,2.410241024,392.8192819,120.5120512,"Concrete 80%, Wood 20%",Beam,Good,-10.71807181,24.10241024,Standing
2412,Region_2,23,Wood,520.1920192,15.85058506,31.70117012,2487.128713,Sunny,1205.620562,08-08-2016,24.11241124,2.411241124,392.8992899,120.5620562,"Concrete 80%, Wood 20%",Truss,Good,-10.71007101,24.11241124,Standing
2413,Region_3,3,Steel,520.3870387,15.85508551,31.71017102,2488.118812,Snowy,1206.120612,09-08-2016,24.12241224,2.412241224,392.9792979,120.6120612,"Steel 70%, Concrete 30%",Arch,Good,-10.70207021,24.12241224,Standing
2414,Region_4,16,Concrete,520.5820582,15.85958596,31.71917192,2489.108911,Cloudy,1206.620662,10-08-2016,24.13241324,2.413241324,393.0593059,120.6620662,"Concrete 80%, Wood 20%",Beam,Good,-10.69406941,24.13241324,Standing
2415,Region_5,11,Wood,520.7770777,15.86408641,31.72817282,2490.09901,Windy,1207.120712,11-08-2016,24.14241424,2.414241424,393.1393139,120.7120712,"Concrete 80%, Wood 20%",Truss,Good,-10.68606861,24.14241424,Standing
2416,Region_1,43,Steel,520.9720972,15.86858686,31.73717372,2491.089109,Rainy,1207.620762,12-08-2016,24.15241524,2.415241524,393.2193219,120.7620762,"Steel 70%, Concrete 30%",Arch,Good,-10.67806781,24.15241524,Standing
2417,Region_2,3,Concrete,521.1671167,15.87308731,31.74617462,2492.079208,Sunny,1208.120812,13-08-2016,24.16241624,2.416241624,393.2993299,120.8120812,"Concrete 80%, Wood 20%",Beam,Good,-10.67006701,24.16241624,Standing
